color,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,num_voted_users,num_user_for_reviews,language,country,content_rating,actor_2_facebook_likes,imdb_score,movie_facebook_likes,Adventure,Action,Drama,Fantasy,Romance,Comedy,Family,Musical,History,War,Documentary,Sport,Crime,Horror,Mystery,Sci_Fi,Thriller,Animation,Biography
Color,723.0,178.0,0.0,855.0,1000.0,886204,3054.0,English,USA,PG-13,936.0,7.9,33000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Color,302.0,169.0,563.0,1000.0,40000.0,471220,1238.0,English,USA,PG-13,5000.0,7.1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Color,602.0,148.0,0.0,161.0,11000.0,275868,994.0,English,UK,PG-13,393.0,6.8,85000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Color,813.0,164.0,22000.0,23000.0,27000.0,1144337,2701.0,English,USA,PG-13,23000.0,8.5,164000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Color,462.0,132.0,475.0,530.0,640.0,212204,738.0,English,USA,PG-13,632.0,6.6,24000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Color,392.0,156.0,0.0,4000.0,24000.0,383056,1902.0,English,USA,PG-13,11000.0,6.2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Color,324.0,100.0,15.0,284.0,799.0,294810,387.0,English,USA,PG,553.0,7.8,29000,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0
Color,635.0,141.0,0.0,19000.0,26000.0,462669,1117.0,English,USA,PG-13,21000.0,7.5,118000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Color,375.0,153.0,282.0,10000.0,25000.0,321795,973.0,English,UK,PG,11000.0,7.5,10000,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Color,673.0,183.0,0.0,2000.0,15000.0,371639,3018.0,English,USA,PG-13,4000.0,6.9,197000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Color,434.0,169.0,0.0,903.0,18000.0,240396,2367.0,English,USA,PG-13,10000.0,6.1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Color,403.0,106.0,395.0,393.0,451.0,330784,1243.0,English,UK,PG-13,412.0,6.7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Color,313.0,151.0,563.0,1000.0,40000.0,522040,1832.0,English,USA,PG-13,5000.0,7.3,5000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Color,450.0,150.0,563.0,1000.0,40000.0,181792,711.0,English,USA,PG-13,2000.0,6.5,48000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Color,733.0,143.0,0.0,748.0,15000.0,548573,2536.0,English,USA,PG-13,3000.0,7.2,118000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Color,258.0,150.0,80.0,201.0,22000.0,149922,438.0,English,USA,PG,216.0,6.6,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Color,703.0,173.0,0.0,19000.0,26000.0,995415,1722.0,English,USA,PG-13,21000.0,8.1,123000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Color,448.0,136.0,252.0,1000.0,40000.0,370704,484.0,English,USA,PG-13,11000.0,6.7,58000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Color,451.0,106.0,188.0,718.0,10000.0,268154,341.0,English,USA,PG-13,816.0,6.8,40000,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
Color,422.0,164.0,0.0,773.0,5000.0,354228,802.0,English,New Zealand,PG-13,972.0,7.5,65000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Color,599.0,153.0,464.0,963.0,15000.0,451803,1225.0,English,USA,PG-13,10000.0,7.0,56000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Color,343.0,156.0,0.0,738.0,891.0,211765,546.0,English,USA,PG-13,882.0,6.7,17000,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Color,509.0,186.0,0.0,773.0,5000.0,483540,951.0,English,USA,PG-13,972.0,7.9,83000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Color,251.0,113.0,129.0,1000.0,16000.0,149019,666.0,English,USA,PG-13,6000.0,6.1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Color,446.0,201.0,0.0,84.0,6000.0,316018,2618.0,English,New Zealand,PG-13,919.0,7.2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Color,315.0,194.0,0.0,794.0,29000.0,793059,2528.0,English,USA,PG-13,14000.0,7.7,26000,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Color,516.0,147.0,94.0,11000.0,21000.0,272670,1022.0,English,USA,PG-13,19000.0,8.2,72000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Color,377.0,131.0,532.0,627.0,14000.0,202382,751.0,English,USA,PG-13,10000.0,5.9,44000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Color,644.0,124.0,365.0,1000.0,3000.0,418214,1290.0,English,USA,PG-13,2000.0,7.0,150000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Color,750.0,143.0,0.0,393.0,883.0,522030,1498.0,English,UK,PG-13,563.0,7.8,80000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Color,300.0,135.0,0.0,4000.0,24000.0,411164,1303.0,English,USA,PG-13,11000.0,7.3,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Color,608.0,195.0,1000.0,3000.0,21000.0,557489,1187.0,English,USA,PG-13,4000.0,7.2,95000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Color,451.0,108.0,13000.0,11000.0,40000.0,306320,736.0,English,USA,PG,25000.0,6.5,24000,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Color,334.0,104.0,420.0,560.0,20000.0,383427,1912.0,English,Canada,PG-13,808.0,6.8,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Color,376.0,104.0,37.0,760.0,12000.0,235025,265.0,English,USA,G,779.0,7.3,44000,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Color,366.0,150.0,0.0,464.0,894.0,323207,1439.0,English,USA,PG-13,581.0,6.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Color,378.0,165.0,0.0,808.0,974.0,242420,918.0,English,USA,PG-13,956.0,5.7,56000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Color,525.0,130.0,0.0,11000.0,44000.0,175409,511.0,English,USA,PG,15000.0,6.4,60000,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Color,495.0,142.0,464.0,825.0,15000.0,321227,1067.0,English,USA,PG-13,10000.0,6.7,41000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Color,469.0,125.0,364.0,1000.0,12000.0,264183,665.0,English,USA,PG,10000.0,6.8,30000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Color,304.0,106.0,487.0,776.0,1000.0,101178,283.0,English,USA,G,919.0,6.3,10000,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
Color,436.0,123.0,258.0,326.0,16000.0,223393,550.0,English,USA,PG-13,368.0,5.6,24000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Color,453.0,103.0,125.0,721.0,15000.0,544884,733.0,English,USA,G,1000.0,8.3,30000,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Color,422.0,118.0,368.0,988.0,23000.0,286095,974.0,English,USA,PG-13,3000.0,6.6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Color,424.0,140.0,0.0,14000.0,26000.0,278232,657.0,English,USA,PG-13,23000.0,7.2,94000,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Color,654.0,123.0,395.0,1000.0,17000.0,465019,995.0,English,USA,PG-13,11000.0,7.0,129000,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
Color,539.0,149.0,0.0,20000.0,34000.0,514125,752.0,English,USA,PG-13,22000.0,8.0,82000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Color,590.0,132.0,14000.0,928.0,19000.0,395573,1171.0,English,USA,PG-13,981.0,7.8,92000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Color,338.0,114.0,0.0,140.0,979.0,106416,205.0,English,USA,PG-13,557.0,6.3,22000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Color,490.0,143.0,1000.0,77.0,29000.0,362912,753.0,English,Australia,PG-13,509.0,7.3,115000,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Color,306.0,116.0,179.0,236.0,15000.0,222403,453.0,English,USA,PG-13,567.0,6.6,23000,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Color,575.0,131.0,0.0,919.0,16000.0,381148,1106.0,English,USA,PG-13,968.0,7.0,83000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Color,428.0,154.0,0.0,581.0,894.0,326180,899.0,English,USA,PG-13,829.0,6.3,46000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Color,470.0,122.0,14000.0,1000.0,11000.0,333847,2054.0,English,USA,PG-13,1000.0,6.2,5000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Color,298.0,93.0,113.0,113.0,275.0,62836,345.0,English,USA,PG,150.0,6.8,20000,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
